X,Dam_Name,Continent,Lat,Long,Source,,Flag,Article_source,ORD_FLOW,storage,up_area_sk,dem,underground,sgr_dk_rav,row_max_tmin,row_max_q
10494,Labhansarad Dam,Asia,20.439,79.057,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38318dams with location,catchment,and attribute information",7,NA,47.6763,232,60,19,29.7,408.1
10495,Kosmi Dam,Asia,20.438738,82.136323,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38319dams with location,catchment,and attribute information",7,NA,6.83946,416,157,52,26.3,396.5
10496,Gadadgad Dam,Asia,20.441215,75.175371,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38320dams with location,catchment,and attribute information",7,NA,69.42,410,286,46,27.4,213.1
10497,Dhamna Dam,Asia,20.44113,75.893832,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38321dams with location,catchment,and attribute information",7,NA,132.935,611,195,7,27,212
10498,Zodga Dam,Asia,20.445106,77.202857,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38322dams with location,catchment,and attribute information",7,NA,23.1339,350,123,45,28.6,326.9
10500,Gouri Dam,Asia,20.440814,81.358602,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38323dams with location,catchment,and attribute information",7,NA,0.402264,394,80,0,27.1,436.3
10501,Jamalewani Dam,Asia,20.448917,73.822919,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38324dams with location,catchment,and attribute information",7,NA,7.24092,714,408,112,23.8,571.7
10502,Unknown 52,Asia,20.452428,95.969404,CGIAR Greater Mekong,,unrecord,"Global Dam Tracker:A database of more than 38325dams with location,catchment,and attribute information",6,NA,318.423,283,60,25,25.4,7.9
10503,Borgaon Dam,Asia,20.455856,78.192738,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38326dams with location,catchment,and attribute information",7,NA,53.3097,312,152,95,29.5,330.2
10504,Takali Dam,Asia,20.455134,78.09753,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38327dams with location,catchment,and attribute information",7,NA,33.5949,352,258,57,29.4,336.6
10505,Hadua Dam,Asia,20.455108,85.26508,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38328dams with location,catchment,and attribute information",7,NA,25.7379,305,469,75,26.3,374.2
10506,Brahmangaon Shevaga Dam,Asia,20.457733,74.88365,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38329dams with location,catchment,and attribute information",8,NA,12.4713,362,141,41,27.1,178.5
10507,Pimpalgaon Hande Dam,Asia,20.456874,77.296753,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38330dams with location,catchment,and attribute information",7,NA,12.2696,373,124,50,28.9,334.1
10508,Bordaivat Dam,Asia,20.460217,73.844333,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38331dams with location,catchment,and attribute information",7,NA,27.7574,714,408,93,24.1,489.1
10509,Kapara Dam,Asia,20.461,78.068,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38332dams with location,catchment,and attribute information",7,NA,28.9657,352,258,51,29.8,332.5
10510,Torna Dam,Asia,20.461903,76.594577,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38333dams with location,catchment,and attribute information",7,NA,70.1999,416,214,56,29.5,279.2
10511,Mun Dam,Asia,20.46323,76.661788,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38334dams with location,catchment,and attribute information",6,NA,316.905,467,279,42,29.4,278.4
10512,Zola Dam,Asia,20.462191,78.164628,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38335dams with location,catchment,and attribute information",7,NA,10.8611,312,152,60,29.7,325.3
10513,Rahud Dam,Asia,20.463967,73.733417,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38336dams with location,catchment,and attribute information",7,NA,5.83191,787,359,106,23.4,774.4
10514,Zari Dam,Asia,20.468063,76.069049,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38337dams with location,catchment,and attribute information",8,NA,11.4633,653,311,46,26.9,229.2
10515,Kelgaon Dam,Asia,20.473707,75.509121,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38338dams with location,catchment,and attribute information",7,NA,15.0819,704,340,52,25.4,215.4
10516,Unknown 51,Asia,20.468555,96.075001,CGIAR Greater Mekong,,unrecord,"Global Dam Tracker:A database of more than 38339dams with location,catchment,and attribute information",6,NA,125.147,253,71,19,25.3,7.8
10517,Karada Dam,Asia,20.473883,85.395768,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38340dams with location,catchment,and attribute information",7,NA,9.24975,89,201,109,25.5,446.7
10518,Jamuna Bundha Dam,Asia,20.484468,85.518537,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38341dams with location,catchment,and attribute information",7,NA,4.0215,62,128,41,26.1,474.1
10519,Girna Dam,Asia,20.479,74.716,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38342dams with location,catchment,and attribute information",5,NA,4557.09,399,121,22,26.3,156.6
10521,Sawarkhed Dam,Asia,20.479393,77.272733,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38343dams with location,catchment,and attribute information",8,NA,12.8724,373,124,35,29.3,314.1
10522,Manyad Dam,Asia,20.480848,74.792443,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38344dams with location,catchment,and attribute information",6,NA,893.882,395,126,34,26.4,171.2
10523,Katepurna Dam,Asia,20.481205,77.15666,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38345dams with location,catchment,and attribute information",6,NA,541.543,417,214,17,28.7,311.3
10525,Januna Dam,Asia,20.487577,77.244514,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38346dams with location,catchment,and attribute information",7,NA,42.2409,373,124,66,29.3,314.1
10526,Dighi - II Dam,Asia,20.486233,75.17915,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38347dams with location,catchment,and attribute information",7,NA,107.837,410,286,35,27.7,213.4
10527,Isapur Dam,Asia,20.486536,77.335994,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38348dams with location,catchment,and attribute information",7,NA,23.5289,373,124,66,29,324
10528,Ner Dam,Asia,20.474887,77.861523,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38349dams with location,catchment,and attribute information",7,NA,20.3118,331,159,29,29.7,323.4
10529,Khirad Dam,Asia,20.493156,73.788023,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38350dams with location,catchment,and attribute information",6,NA,85.66,787,359,29,24,567.1
10530,Fattepur Dam,Asia,20.491424,76.582848,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38351dams with location,catchment,and attribute information",8,NA,12.2661,416,214,59,29.2,293.3
10531,Usaritola Dam,Asia,20.493073,81.047634,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38352dams with location,catchment,and attribute information",7,NA,9.04865,408,168,33,27.3,462.4
10532,Pimpalgaon Chambhare Dam,Asia,20.48845,77.314018,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38353dams with location,catchment,and attribute information",7,NA,53.0939,373,124,39,29.2,318.3
10533,Lohatwadi Dam,Asia,20.485363,77.790326,India-WRIS Wiki,,unrecord,"Global Dam Tracker:A database of more than 38354dams with location,catchment,and attribute information",7,NA,14.2778,328,154,41,29.6,322.8
